"NAME","income_2010","income_2024","rent_2010","rent_2024","inflation_factor","income_2010_adj","rent_2010_adj","afford_ratio_2010","afford_ratio_2024","afford_change"
"Indiana",49337,80602,683,1104,1.4384798277666,70970.2792625207,982.481722364587,0.166122788171149,0.164363167167068,-0.00175962100408164
"Iowa",54373,85436,629,981,1.4384798277666,78214.4636751533,904.80381166519,0.138818899085943,0.137787349595018,-0.0010315494909249
"Kansas",51616,87035,682,1079,1.4384798277666,74248.5747900007,981.04324253682,0.1585554866708,0.148767737117252,-0.00978774955354808
"Kentucky",45021,77680,613,998,1.4384798277666,64761.80032588,881.788134420925,0.163390417805024,0.154170957775489,-0.00921946002953511
"Louisiana",47691,70700,736,1064,1.4384798277666,68602.5414660168,1058.72115323622,0.185192174624143,0.180594059405941,-0.00459811521820233
"Maine",50705,93626,707,1210,1.4384798277666,72938.1196669054,1017.00523823099,0.167320777043684,0.155085125926559,-0.0122356511171252
"Maryland",71666,108041,1131,1721,1.4384798277666,103090.095336721,1626.92068520402,0.189378505846566,0.191149656149055,0.00177115030248848
"Massachusetts",70691,123206,1009,1848,1.4384798277666,101687.577504649,1451.4261462165,0.171280643929213,0.17999123419314,0.0087105902639269
"Michigan",49989,82236,730,1168,1.4384798277666,71908.1681102245,1050.09027426962,0.175238552481546,0.170436305267766,-0.00480224721378
"Minnesota",61707,101311,764,1291,1.4384798277666,88764.2747319935,1098.99858841368,0.148573095434878,0.152915280670411,0.00434218523553315
"Mississippi",40927,65978,672,990,1.4384798277666,58872.6639110036,966.658444259154,0.19703374300584,0.180060020006669,-0.0169737229991707
"Missouri",49138,82996,682,1067,1.4384798277666,70684.0217767951,981.04324253682,0.166551345191094,0.154272495060003,-0.0122788501310916
"Montana",47474,88441,642,1177,1.4384798277666,68290.3913433915,923.504049426156,0.162278299700889,0.159699686796848,-0.00257861290404127
"Nebraska",52620,88672,669,1102,1.4384798277666,75692.8085370784,962.343004775854,0.152565564424173,0.149133886683508,-0.00343167774066555
"Nevada",54189,87394,952,1709,1.4384798277666,77949.7833868442,1369.4327960338,0.210817693627858,0.234661418404009,0.0238437247761513
"New Hampshire",70623,114924,951,1558,1.4384798277666,101589.76087636,1367.99431620604,0.161590416719766,0.162681424245588,0.00109100752582289
"New Jersey",73858,118481,1114,1800,1.4384798277666,106243.243119185,1602.46652813199,0.180995965230578,0.182307711785012,0.00131174655443436
"New Mexico",44010,75190,699,1117,1.4384798277666,63307.497220008,1005.49739960885,0.190593047034765,0.178268386753558,-0.0123246602812072
"New York",60897,101393,1020,1634,1.4384798277666,87599.1060715026,1467.24942432193,0.200995122912459,0.193386131192489,-0.00760899171997009
"North Carolina",47257,84527,731,1338,1.4384798277666,67978.2412207661,1051.52875409738,0.185623293903549,0.189951139872467,0.00432784596891808
"North Dakota",57499,92180,583,980,1.4384798277666,82711.1516167516,838.633739587927,0.12167168124663,0.127576480798438,0.00590479955180744
"Ohio",50225,82241,685,1090,1.4384798277666,72247.6493495774,985.35868202012,0.163663514186162,0.159044758697,-0.00461875548916199
"Oklahoma",44948,74976,659,1044,1.4384798277666,64656.7912984531,947.958206498188,0.175936637892676,0.167093469910371,-0.00884316798230467
"Oregon",50030,98287,816,1597,1.4384798277666,71967.1457831629,1173.79953945754,0.195722566460124,0.194980007528971,-0.000742558931152631
"Pennsylvania",55726,90401,763,1252,1.4384798277666,80160.7268821215,1097.56010858591,0.164303915586979,0.166192851848984,0.00188893626200481
"Rhode Island",58307,95063,868,1418,1.4384798277666,83873.443317587,1248.60049050141,0.17864064349049,0.178997086142874,0.000356442652383687
"South Carolina",45210,82010,728,1272,1.4384798277666,65033.6730133279,1047.21331461408,0.193231585932316,0.186123643458115,-0.00710794247420102
"South Dakota",51484,84351,591,999,1.4384798277666,74058.6954527356,850.14157821006,0.137751534457307,0.142120425365437,0.00436889090813017
"Tennessee",45243,81377,697,1284,1.4384798277666,65081.1428476442,1002.62043995332,0.184868377428552,0.189340968578345,0.00447259114979276
"Texas",50837,85373,801,1475,1.4384798277666,73127.9990041706,1152.22234204105,0.189074886401637,0.207325501036628,0.0182506146349909
"Utah",55753,101756,796,1593,1.4384798277666,80199.5658374712,1145.02994290221,0.171327103474252,0.187861158064389,0.0165340545901368
"Vermont",54442,97695,823,1319,1.4384798277666,78313.7187832692,1183.86889825191,0.181404063039565,0.162014432673115,-0.0193896303664497
"Virginia",65517,101267,1019,1646,1.4384798277666,94244.8828757842,1465.81094449416,0.186638582352672,0.195048732558484,0.00841015020581218
"Washington",60397,112374,908,1824,1.4384798277666,86879.8661576192,1306.13968361207,0.180406311571767,0.194778151529713,0.0143718399579464
"West Virginia",44014,73003,571,883,1.4384798277666,63313.2511393191,821.371981654728,0.155677738901259,0.145144720079997,-0.010533018821262
"Wisconsin",53001,91202,715,1142,1.4384798277666,76240.8693514575,1028.51307685312,0.161883738042678,0.150259862722309,-0.0116238753203697
"Wyoming",57509,84372,693,998,1.4384798277666,82725.5364150293,996.866520642253,0.144603453372516,0.141942824633765,-0.00266062873875084
